fsq_place_id,name,latitude,longitude,address,locality,region,postcode,admin_region,post_town,po_box,country,date_created,date_refreshed,date_closed,tel,website,email,facebook_id,instagram,twitter,fsq_category_ids,fsq_category_labels,geom,bbox,labels_str,taco_restaurant
f63cd12c13804bf7ce5ef05f,Tacos de Birria la Comadre,,,Juarez 223,Ahome,Sinaloa,81200,,,,MX,2013-09-13,2023-12-06,,668 815 1650,,tacosdebirrialacomadre@hotmail.com,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],,"{'xmin': None, 'ymin': None, 'xmax': None, 'ymax': None}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4cb22d929b34199c1813b963,Carnitas La Prietita,32.656972463376526,-115.43270587921143,Vazco de Quiroga,Mexicali,B.C.,,,,,MX,2010-10-10,2020-11-23,,686 567 5464,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xdb\xb1t\x00\x00\x00@@T\x17\xacvI\x91',"{'xmin': -115.43270587921143, 'ymin': 32.656972463376526, 'xmax': -115.43270587921143, 'ymax': 32.656972463376526}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
6161ebb62367e8357a532de5,Xolo-Tacos La Cuesta Otay,32.533585,-116.944379,,Tijuana,BC,22430,,,,MX,2021-10-09,2021-10-09,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]<p\xb4\x9e\x01\xde@@DL\x83fQn',"{'xmin': -116.944379, 'ymin': 32.533585, 'xmax': -116.944379, 'ymax': 32.533585}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
515f8fd9e4b0e553dd236ec2,Tacos Polo Monte Carlo,32.5245624338997,-116.88800811767578,,,,,,,,MX,2013-04-06,2021-08-15,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],"b""\x00\x00\x00\x00\x01\xc0]8\xd5 \x00\x00\x00@@C$\xdc\xa1'\x9a""","{'xmin': -116.88800811767578, 'ymin': 32.5245624338997, 'xmax': -116.88800811767578, 'ymax': 32.5245624338997}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4cfdcbe9ee9cb60cdf729cad,El Danny's Asadero,32.64933823646009,-115.50629751145831,Calle 10,Mexicali,BC,,,,,MX,2010-12-07,2020-11-24,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xe0g-\xadp\x9e@@S\x1d\x83\xec\xd1\xb7',"{'xmin': -115.50629751145831, 'ymin': 32.64933823646009, 'xmax': -115.50629751145831, 'ymax': 32.64933823646009}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5a82536b3abcaf07ee7c03d4,Los Machetes,32.436488,-117.030895,,Tijuana,BC,22664,,,,MX,2018-02-13,2020-11-24,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]A\xfa/\x05\xa7\t@@7\xde\xd6\xba\x8cX',"{'xmin': -117.030895, 'ymin': 32.436488, 'xmax': -117.030895, 'ymax': 32.436488}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
52cc2ceb498e23316ee8e9bf,Tacos Fernas,32.59676742553711,-115.4334716796875,,,,,,,,MX,2014-01-07,2021-08-14,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0\\\xdb\xbe\x00\x00\x00\x00@@Lb\xe0\x00\x00\x00',"{'xmin': -115.4334716796875, 'ymin': 32.59676742553711, 'xmax': -115.4334716796875, 'ymax': 32.59676742553711}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4eb49eb9be7bfc2849f77c66,Tacos La Choza,32.52132486112528,-117.1158483711227,paseo ensenada,playas de tijuana,,22500,,,,MX,2011-11-05,2020-11-22,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]Gj\x0fIQ\x14@@B\xba\xc5\xe6\x8f\xfa',"{'xmin': -117.1158483711227, 'ymin': 32.52132486112528, 'xmax': -117.1158483711227, 'ymax': 32.52132486112528}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4d4f2255a0b0a09389e05483,Mariscos Tito's,32.531265,-117.11125,P.º Estrella del Mar #605,Tijuana,BC,22504,,,,MX,2010-03-20,2023-08-06,,664 804 2260,https://mariscostitos.com,,922125314497570.0,mariscostitos,,['4bf58dd8d48988d1ce941735' '4bf58dd8d48988d151941735'],"['Dining and Drinking > Restaurant > Seafood Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant']",b'\x00\x00\x00\x00\x01\xc0]G\x1e\xb8Q\xeb\x85@@D\x00}\xd4A5',"{'xmin': -117.11125, 'ymin': 32.531265, 'xmax': -117.11125, 'ymax': 32.531265}","dining and drinking > restaurant > seafood restaurant, dining and drinking > restaurant > mexican restaurant > taco restaurant",1
4e4ea7921495fc2ca3f3b126,Tacos El Birriringuis,32.472141,-116.921104,,Tijuana,BC,,,,,MX,2011-08-19,2020-11-24,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],b'\x00\x00\x00\x00\x01\xc0]:\xf3^1\r\xbf@@<o\x1d\xc5\x0c\xe5',"{'xmin': -116.921104, 'ymin': 32.472141, 'xmax': -116.921104, 'ymax': 32.472141}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
